Ppt.,Sample,CuedBiasType,Dscore_Cued_Baseline,Cued_Prenap,Cued_Postnap,Cued_Delayed,Uncued_Baseline,Uncued_Prenap,Uncued_Postnap,Uncued_Delayed,Cued_Pre_PostNap,Uncued_Pre_PostNap,CueNapAdvantage,Cued_Prenap_Delay,Uncued_Prenap-Delay,CuePrenapDelayAdvantage,Cued_BaseDelayChange,Uncued_BaseDelayChange,Cue_BaseDelayAdvan,SWS x REM (in min),NumberofSoundCues
26,2,Gender,0.553424389,0.334889444,0.350155507,1.145981074,0.363805362,0.509448674,0.605747005,0.902260744,-0.015266063,-0.096298331,0.081032267,-0.81109163,-0.39281207,-0.41827956,-0.592556685,-0.538455382,-0.054101302,0,399
27,2,Race,1.080130027,0.990923957,0.199892668,0.778029497,0.546546916,0.157956149,0.309299254,-0.678775563,0.791031289,-0.151343105,0.942374394,0.212894461,0.836731712,-0.623837251,0.30210053,1.225322479,-0.923221949,249,22
28,2,Gender,0.027328011,-0.013348756,0.245144547,0.328520968,0.612935848,-0.036606917,0.825568066,0.02415216,-0.258493303,-0.862174983,0.60368168,-0.341869724,-0.060759077,-0.281110647,-0.301192957,0.588783688,-0.889976645,132,253
29,2,Race,0.674790981,0.780479998,0.264021914,0.485111432,0.378671644,0.024379429,0.112469736,0.251505947,0.516458084,-0.088090307,0.604548391,0.295368566,-0.227126518,0.522495084,0.189679549,0.127165697,0.062513852,197.5,261
30,2,Gender,0.864826017,-0.202519546,-0.026204744,0.522907612,-0.058159903,-0.18359427,0.717686546,1.378848016,-0.176314802,-0.901280816,0.724966014,-0.725427158,-1.562442286,0.837015128,0.341918405,-1.437007918,1.778926323,427.5,344
31,2,Gender,1.068775192,-0.057764821,0.540563417,0.655778481,0.523505043,0.200168493,0.225984511,0.760901778,-0.598328238,-0.025816017,-0.572512221,-0.713543302,-0.560733285,-0.152810017,0.412996711,-0.237396735,0.650393446,204.75,369
32,2,Race,0.345349787,0.292229126,0.100964749,-0.019724641,0.632130817,-0.331700709,-0.253698238,0.116719459,0.191264377,-0.07800247,0.269266847,0.311953767,-0.448420167,0.760373935,0.365074428,0.515411358,-0.15033693,0,322
33,2,Race,0.267299182,-0.270282178,-0.223915819,0.073844701,0.943107329,0.285940226,0.383715202,0.821270435,-0.046366359,-0.097774975,0.051408616,-0.34412688,-0.535330209,0.19120333,0.19345448,0.121836894,0.071617587,195,145
34,2,Gender,0.261957767,-0.124808248,-0.480597498,0.219277169,0.35353893,0.124459907,-0.205372197,0.216966776,0.35578925,0.329832105,0.025957146,-0.344085416,-0.092506869,-0.251578548,0.042680599,0.136572154,-0.093891555,0,255
35,2,Race,0.250843836,-0.247920118,0.013892553,-0.004057699,1.224697147,0.21975991,0.507348066,0.105862757,-0.261812672,-0.287588156,0.025775484,-0.24386242,0.113897153,-0.357759573,0.254901535,1.118834389,-0.863932854,0,201
36,2,Gender,-0.014332961,0.697933243,0.143486228,0.143250174,0.897974041,0.505016219,0.690466066,0.519390364,0.554447015,-0.185449848,0.739896863,0.554683069,-0.014374145,0.569057214,-0.157583135,0.378583677,-0.536166812,0,577
37,2,Race,0.950765146,0.885914318,0.985872762,1.024960452,1.270885546,-0.394162456,0.062353984,0.514492439,-0.099958445,-0.45651644,0.356557995,-0.139046134,-0.908654895,0.76960876,-0.074195306,0.756393108,-0.830588414,46.75,84
38,2,Gender,0.405135248,0.194553741,-0.370961363,0.379169675,0.563084148,0.735976379,0.721020334,0.833505252,0.565515103,0.014956046,0.550559058,-0.184615934,-0.097528873,-0.087087061,0.025965573,-0.270421104,0.296386678,346.75,225
39,2,Gender,0.563461647,0.187232351,0.142124334,0.986620899,0.458052779,-0.33290937,-0.593644784,-0.035024628,0.045108017,0.260735414,-0.215627397,-0.799388548,-0.297884742,-0.501503806,-0.423159253,0.493077407,-0.91623666,0,494
40,2,Race,0.929506477,0.302214977,0.227510497,0.815527856,0.133879652,0.528949705,0.071811956,0.367326213,0.074704479,0.457137749,-0.382433269,-0.513312879,0.161623492,-0.674936371,0.113978621,-0.233446561,0.347425182,569.5,261
